species	animal	sp_common	bird_ID	captive_status	sex	Location	Food_deprivation_time	Shyness	Neophobia	tPS1234	lPS1234	tDetour_reaching	lDetour_reaching	tLearning	lLearning	tReversal_learning	lReversal_learning	Bodyweight	Relative_brain_size	Call_rep	lCall_rep	Song_rep	lSong_rep	SongCall_rep	lSongCall_rep	VLC	VLTnum	OCnum	OCsongnum	Mnum	VLT
Baeolophus_bicolor	Baeolophus_bicolor	Tufted titmouse	458	wild	M	Lake	1.173	0.639075625	0.21127451	8.5	0.929	14	1.146	18	1.255	44	1.643	1.303	0.252	52	1.716	11.55	1.099	63.55	1.803	1.19322194	3	1	0	0	Open
Serinus_canaria	Serinus_canaria	Canary	461	dom	M	Captive	1.22	0.80162214	1.485766645	8.5	0.929	14	1.146	7	0.845	14	1.146	1.33	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	462	dom	M	Captive	1.204	0.413303128	0.157522179	9	0.954	9	0.954	11	1.041	32	1.505	1.193	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	463	dom	M	Captive	1.217	0.640424383	1.376940839	6.25	0.796	13	1.114	15	1.176	23	1.362	1.307	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	464	dom	M	Captive	1.207	0.729113487	1.41687577	4.5	0.653	14	1.146	10	1	33	1.519	1.21	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	465	dom	M	Captive	1.21	1.056589954	1.088397409	7	0.845	10	1	27	1.431	46	1.663	1.241	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	466	dom	M	Captive	1.199	0.697086291	1.222283509	7.25	0.86	9	0.954	27	1.431	41	1.613	1.158	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	467	dom	M	Captive	1.217	1.109871168	0.776104267	6	0.778	15	1.176	30	1.477	20	1.301	1.248	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	468	dom	M	Captive	1.22	1.102396641	1.338158628	7.25	0.86	7	0.845	11	1.041	23	1.362	1.283	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	469	dom	M	Captive	1.212	1.153569371	1.484752658	7.25	0.86	13	1.114	15	1.176	27	1.431	1.212	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	470	dom	M	Captive	1.212	1.218485378	1.347112475	5.5	0.74	7	0.845	13	1.114	23	1.362	1.241	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	471	dom	M	Captive	1.21	0.899423796	1.453428598	5.75	0.76	7	0.845	19	1.279	31	1.491	1.22	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	472	dom	M	Captive	1.212	1.180349594	1.291400348	8.75	0.942	7	0.845	23	1.362	15	1.176	1.236	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Serinus_canaria	Serinus_canaria	Canary	473	dom	M	Captive	1.204	1.08688129	0.775496023	1.75	0.243	15	1.176	21	1.322	24	1.38	1.228	0.02	2	0.301	19	1.301	21	1.322	0.58821526	3	1	1	0	Open
Molothrus_ater	Molothrus_ater	Brown-headed cowbird	601	wild	M	L-shaped field	1.207	1.199212937	1.096086288	9.75	0.989	17	1.23	17	1.23	20	1.301	1.687	0.005	4	0.602	5.09	0.785	9.09	0.959	-1.07237856	2	0	0	0	Closed
Molothrus_ater	Molothrus_ater	Brown-headed cowbird	602	wild	M	Campus field	1.193	0.890573216	1.269563326	11	1.041	21	1.322	12	1.079	31	1.491	1.695	0.005	4	0.602	5.09	0.785	9.09	0.959	-1.07237856	2	0	0	0	Closed
Turdus_migratorius	Turdus_migratorius	American robin	604	wild	M	Campus field	1.19	0.51634824	-0.069353488	1	0	34	1.531	17	1.23	30	1.477	1.859	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Cardinalis_cardinalis	Cardinalis_cardinalis	Northern cardinal	605	wild	M	Campus field	1.176	0.876287495	0.294131334	3.75	0.574	51	1.708	21	1.322	37	1.568	1.63	0.275	16	1.204	9.93	1.039	25.93	1.414	-0.49881714	2	0	0	0	Closed
